year,province,university_name,major_group_code,major_group_name,major_name,batch,enrollment_count,subject_requirements,highest_score,lowest_score,average_score,lowest_rank,average_rank,notes
2024,上海,东华大学,Z0603,东华大学(03),计算机类,综合评价,9,物化,559,549,553,7975,7218,
2024,上海,东华大学,Z0603,东华大学(03),人工智能,综合评价,3,物化,559,549,552,7975,7412,
2024,上海,东华大学,Z0603,东华大学(03),理科试验班类,综合评价,11,物化,559,549,552,7975,7412,
2024,上海,东华大学,Z0603,东华大学(03),机械工程,综合评价,2,物化,559,549,550,7975,7798,
2024,上海,东华大学,Z0603,东华大学(03),智能制造工程,综合评价,2,物化,559,549,550,7975,7798,
2024,上海,东华大学,Z0603,东华大学(03),电子信息类,综合评价,8,物化,559,549,550,7975,7798,
2024,上海,东华大学,Z0603,东华大学(03),数学类(金融与统计方向),综合评价,2,物化,559,551,555,7592,6832,
2024,上海,上海财经大学,Z0701,上海财大(01),财务管理(智能化方向),综合评价,5,不限,583,568,570,4499,4158,
2024,上海,上海财经大学,Z0701,上海财大(01),会计学,综合评价,8,不限,583,572,576,3846,3250,
2024,上海,上海财经大学,Z0701,上海财大(01),金融学,综合评价,16,不限,583,568,571,4499,3998,
2024,上海,上海财经大学,Z0701,上海财大(01),会计学(ACCA方向),综合评价,13,不限,583,568,575,3392,3392,
2024,上海,上海财经大学,Z0701,上海财大(01),财政学类,综合评价,3,不限,583,568,569,4499,4317,
2024,上海,上海财经大学,Z0701,上海财大(01),投资学,综合评价,3,不限,583,568,569,4499,4317,
2024,上海,上海财经大学,Z0701,上海财大(01),法学(涉外法治实验班),综合评价,3,不限,583,568,570,4499,4158,
2024,上海,上海财经大学,Z0701,上海财大(01),"投资学(双学士学位,公管学院和数学学院培养)",综合评价,4,不限,583,569,574,4317,3531,
2024,上海,上海财经大学,Z0701,上海财大(01),国际经济与贸易,综合评价,5,不限,583,568,568,4499,4499,
2024,上海,上海财经大学,Z0701,上海财大(01),工商管理类,综合评价,2,不限,583,568,570,4499,4158,
2024,上海,上海财经大学,Z0701,上海财大(01),经济学(数量经济方向),综合评价,14,不限,583,570,570,4158,4158,
2024,上海,上海财经大学,Z0702,上海财大(02),保险学(精算与大数据方向),综合评价,5,物,572,570,571,4158,3998,
2024,上海,上海财经大学,Z0702,上海财大(02),数字经济,综合评价,2,物,572,571,572,3998,3846,
2024,上海,上海财经大学,Z0702,上海财大(02),信息管理与信息系统,综合评价,2,物,572,571,571,3998,3998,
2024,上海,上海财经大学,Z0703,上海财大(03),数据科学与大数据技术(工学方向),综合评价,3,物化,579,572,573,3846,3676,
2024,上海,上海财经大学,Z0703,上海财大(03),统计学类,综合评价,5,物化,579,572,575,3846,3392,
2024,上海,上海财经大学,Z0703,上海财大(03),"统计学(双学士学位,商学院和统计与管理学院培养)",综合评价,3,物化,579,572,572,3846,3846,
2024,上海,上海财经大学,Z0703,上海财大(03),数学类,综合评价,4,物化,579,572,573,3846,3676,
2024,上海,上海外国语大学,Z0801,上外大(01),英语(多元方向),综合评价,10,不限,576,559,564,6102,5180,
2024,上海,上海外国语大学,Z0801,上外大(01),翻译(多元方向),综合评价,6,不限,576,559,562,6102,5544,
2024,上海,上海外国语大学,Z0801,上外大(01),德语(多元方向),综合评价,6,不限,576,559,564,6102,5180,
2024,上海,上海外国语大学,Z0801,上外大(01),法语,综合评价,4,不限,576,564,569,5180,4317,
2024,上海,上海外国语大学,Z0801,上外大(01),西班牙语,综合评价,2,不限,576,562,565,6102,5019,
2024,上海,上海外国语大学,Z0801,上外大(01),意大利语,综合评价,2,不限,576,559,561,6102,5731,
2024,上海,上海外国语大学,Z0801,上外大(01),葡萄牙语,综合评价,2,不限,576,559,561,6102,5731,
2024,上海,上海外国语大学,Z0801,上外大(01),法学,综合评价,8,不限,576,560,565,5899,5019,
2024,上海,上海外国语大学,Z0801,上外大(01),金融学,综合评价,8,不限,576,560,563,6102,5356,
2024,上海,上海外国语大学,Z0801,上外大(01),国际经济与贸易,综合评价,8,不限,576,560,563,6102,5356,
2024,上海,上海外国语大学,Z0801,上外大(01),国际经济与贸易(日语方向),综合评价,2,不限,576,560,562,5899,5544,
2024,上海,上海外国语大学,Z0801,上外大(01),英语(教育方向),综合评价,8,不限,576,559,564,6102,5180,
2024,上海,上海外国语大学,Z0801,上外大(01),新闻传播学类,综合评价,8,不限,576,560,563,5899,5356,
2024,上海,上海外国语大学,Z0801,上外大(01),会计学,综合评价,6,不限,576,560,564,5899,5180,
2024,上海,上海外国语大学,Z0801,上外大(01),西班牙语(中外合作办学)(企业管理方向),综合评价,2,不限,576,560,562,5899,5544,
2024,上海,上海大学,Z1901,上海大学(01),理科试验班,综合评价,30,物化,572,560,564,5899,5180,
2024,上海,上海大学,Z1901,上海大学(01),电子信息类,综合评价,5,物化,572,561,563,5731,5356,
2024,上海,上海大学,Z1901,上海大学(01),数学与应用数学,综合评价,5,物化,572,561,563,5731,5019,
2024,上海,上海大学,Z1901,上海大学(01),微电子科学与工程,综合评价,15,物化,572,560,563,5899,5356,
2024,上海,上海大学,Z1901,上海大学(01),人工智能,综合评价,5,物化,572,562,564,5544,5180,
2024,上海,上海大学,Z1901,上海大学(01),计算机科学与技术,综合评价,5,物化,572,561,565,5731,5019,
2024,上海,上海大学,Z1901,上海大学(01),生物制药,综合评价,5,物化,572,560,561,5899,5731,
