年份,院校名称,专业组代码,专业组名称,专业列表,投档分数,投档排位
2024,上海商学院,12901,上海商院(01),"金融学, 国际经济与贸易, 会计学, 商务经济学",463,28756
2024,上海商学院,12902,上海商院(02),"电子商务, 税收学, 法学, 社会工作, 日语, 朝鲜语, 商务英语, 市场营销, 财务管理, 零售业管理, 物流管理, 旅游管理",452,31399
2024,上海商学院,12903,上海商院(03),"经济统计学, 信息管理与信息系统, 大数据管理与应用",445,33071
2024,上海商学院,12904,上海商院(04),"计算机科学与技术, 物联网工程, 食品质量与安全",442,33781
2024,上海电机学院,13001,上海电机(01),"电气工程及其自动化(卓越工程师计划), 机械设计制造及其自动化(卓越工程师计划)",458,29994
2024,上海电机学院,13002,上海电机(02),"材料成型及控制工程(卓越工程师计划), 电气类, 车辆工程, 新能源汽车工程, 飞行器制造工程, 计算机类, 自动化, 机械电子工程, 机器人工程, 电子信息工程, 通信工程, 光电信息科学与工程, 电气工程及其自动化(中外合作办学), 机械电子工程(中外合作办学), 材料科学与工程, 电子封装技术, 工业设计",441,33999
2024,上海电机学院,13003,上海电机(03),"经济学类, 工商管理类, 物流管理(中外合作办学), 英语, 德语",445,33071
2024,上海政法学院,13101,上海政法(01),"法学(卓越法律人才培养创新班), 法学(卓越涉外卓越法律人才培养创新班), 法学(涉外卓越法律人才培养试点班)",533,11462
2024,上海政法学院,13102,上海政法(02),"法学(刑事司法方向), 法学(民商法方向), 法学(调解方向), 法学(体育法方向), 法学(经济法方向), 法学(人工智能法学方向), 法学(法庭科学方向), 知识产权",514,15979
2024,上海政法学院,13103,上海政法(03),"国际经济与贸易, 经济学, 经济与金融, 税收学, 财务管理, 审计学, 电子商务及法律",494,20956
2024,上海政法学院,13104,上海政法(04),"应用心理学, 新闻学(卓越新闻传播人才培养试点班), 网络与新媒体, 广播电视学(卓越新闻传播人才培养试点班), 汉语言文学(文化创意产业方向), 汉语国际教育, 社会工作(卓越社会管理人才培养试点班), 行政管理",491,21744
2024,上海政法学院,13105,上海政法(05),"政治学与行政学, 国际政治, 思想政治教育",504,18539
2024,上海政法学院,13106,上海政法(06),"监狱学, 社区矫正",510,17049
2024,上海外国语大学贤达经济人文学院,13301,上外贤达(01),"日语, 朝鲜语, 法语(双语班), 法语(商务方向), 德语(双语班), 英语, 商务英语, 西班牙语(双语班), 阿拉伯语, 翻译",403,41594
2024,上海外国语大学贤达经济人文学院,13302,上外贤达(02),"会计学, 法学(国际经济法方向), 旅游管理, 国际经济与贸易, 文化产业管理, 工商管理, 金融学, 广告学, 新闻学(新媒体方向), 酒店管理",414,39641
2024,上海外国语大学贤达经济人文学院,13303,上外贤达(03),"会展经济与管理(双语班), 法学(双语班), 会计学(双语班), 工商管理(全英语教学班), 会计学(全英语教学班), 新闻学(双语班), 国际经济与贸易(全英语教学班), 金融学(全英语教学班), 学前教育(双语班)",403,41594
2024,上海外国语大学贤达经济人文学院,13304,上外贤达(04),"大数据管理与应用, 金融科技",403,41594
2024,上海建桥学院,13401,建桥学院(01),"宝石及材料工艺学, 机械设计制造及其自动化, 汽车服务工程, 智能制造工程, 电子科学与技术, 微电子科学与工程, 计算机科学与技术, 软件工程, 网络工程, 物联网工程, 数字媒体技术, 计算机科学与技术(双语班), 网络工程(双语班)",436,35127
2024,上海建桥学院,13402,建桥学院(02),"国际经济与贸易, 工商管理, 会计学, 物流管理, 电子商务, 旅游管理(奢侈品管理方向), 英语, 日语, 商务英语, 秘书学, 新闻学, 网络与新媒体(中日学分互认), 时尚传播, 日语(中日学分互认), 学前教育, 小学教育, 健康服务与管理, 养老服务管理",415,39454
2024,上海建桥学院,13403,建桥学院(03),"数字经济, 金融工程, 工程管理",422,38053
2024,上海建桥学院,13404,建桥学院(04),护理学,427,37063
2024,上海建桥学院,13405,建桥学院(05),新闻学(双语班),414,39641
2024,上海建桥学院,13406,建桥学院(06),"机械设计制造及其自动化(中外合作办学), 数字媒体技术(双语班)",424,37692
2024,上海健康医学院,13501,健康医学(01),临床医学,512,16483
2024,上海健康医学院,13502,健康医学(02),预防医学,494,20956
2024,上海健康医学院,13503,健康医学(03),"康复物理治疗, 医学检验技术, 卫生检验与检疫, 口腔医学技术, 医学影像技术, 智能影像工程, 食品卫生与营养学",474,26034
2024,上海健康医学院,13504,健康医学(04),"药学, 药物分析",470,26996
2024,上海健康医学院,13505,健康医学(05),"生物医学工程, 临床工程技术, 数据科学与大数据技术, 康复工程",467,27778
2024,上海健康医学院,13506,健康医学(06),"健康服务与管理, 医疗产品管理, 公共事业管理",466,28028
2024,上海健康医学院,13507,健康医学(07),助产学,461,29262
2024,上海健康医学院,13508,健康医学(08),护理学,469,27273
2024,上海海关学院,13601,海关学院(01),"税收学, 国际商务, 法学, 物流管理",510,17049
2024,上海海关学院,13602,海关学院(02),经济统计学,512,16483
2024,上海中侨职业技术大学,16201,中侨大学(01),"数字媒体技术, 物联网工程技术, 大数据工程技术, 人工智能工程技术, 机器人技术, 智能制造工程技术, 建筑工程, 工程造价, 食品质量与安全, 食品营养与健康, 合成生物技术",403,41594
2024,上海中侨职业技术大学,16202,中侨大学(02),"汽车服务工程技术, 护理, 现代物流管理, 金融科技应用, 大数据与会计, 企业数字化管理, 全媒体电商运营, 烹饪与餐饮管理",403,41594
2024,上海立达学院,16501,立达学院(01),"汉语言文学, 会计学, 财务管理, 国际商务",403,41594
2024,上海立达学院,16502,立达学院(02),"数字经济, 金融科技",409,40573
2024,上海立达学院,16503,立达学院(03),"人工智能, 计算机科学与技术, 数据科学与大数据技术",403,41594
2024,上海视觉艺术学院,17001,上海视觉(01),文化产业管理,441,33999
2024,上海师范大学天华学院,17201,上师天华(01),"应用心理学, 健康服务与管理, 日语, 国际商务, 财务管理, 物流管理, 连锁经营管理",440,34239
2024,上海师范大学天华学院,17202,上师天华(02),"国际商务(国际课程合作,双语教学), 财务管理(国际注册会计师培养,双语教学), 财务管理(特许金融分析师培养,国际课程合作,双语教学), 英语(英语教育方向,国际课程合作), 应用心理学(国际课程合作,双语教学)",432,36033
2024,中央民族大学,20101,中央民族(01),历史学,557,6458
2024,中央民族大学,20102,中央民族(02),"经济学类, 法学类, 社会学类, 汉语言文学, 汉语国际教育, 日语, 工商管理类",545,8758
2024,中央民族大学,20103,中央民族(03),数据科学与大数据技术(中外合作办学),535,10985
2024,中国人民大学,20201,中国人大(01),"统计学类, 人工智能(拔尖班)",580,2684
2024,中国人民大学,20202,中国人大(02),"社会科学试验班(管理学科类), 人文科学试验班, 经济学类, 金融学类, 法学, 新闻传播学类",580,2684
2024,北京交通大学,20301,北京交大(01),理科试验班类(詹天佑试点班信息类),571,3998
2024,北京交通大学,20302,北京交大(02),"理科试验班(数学与统计方向), 电子信息类, 自动化类, 计算机类",568,4499
2024,北京交通大学,20303,北京交大(03),经济管理试验班(经济类、管科类),564,5180
2024,北京交通大学,20304,北京交大(04),"文科试验班类(经管学院工商类), 新闻传播学类",551,7592
2024,北京交通大学,20305,北京交大(05),机械电子工程(中外合作办学),558,6285
2024,北京交通大学,20306,北京交大(06),纳米材料与技术(中外合作办学),554,7021
2024,北京科技大学,20401,北京科大(01),"机械类, 材料科学与工程(高精尖班), 材料科学与工程, 计算机类",562,5544
2024,北京科技大学,20402,北京科大(02),大数据管理与应用(大数据与金融试验班),558,6285
2024,北京科技大学,20403,北京科大(03),工商管理类(数智管理与经济试验班),550,7798
2024,北京化工大学,20501,北京化工(01),"工科试验班(绿色化工与生物医药方向), 工科试验班(先进材料方向), 理科试验班(绿色化学方向)",539,10069
2024,北京化工大学,20502,北京化工(02),"理科试验班(数学、物理电子与管理方向), 自动化类(高端装备与智能制造方向), 计算机类",543,9186
2024,北京邮电大学,20601,北京邮电(01),"理科试验班(信息科学方向), 电子信息类, 通信工程, 人工智能, 计算机类, 软件工程, 数字媒体技术",571,3998
